date,close,adjusted_close,volume
2025-11-03,683.34,683.34,57315025.0
2025-11-04,675.24,675.24,78426969.0
2025-11-05,677.58,677.58,72763485.0
2025-11-06,670.31,670.31,85035298.0
2025-11-07,670.97,670.97,100592443.0
2025-11-10,681.44,681.44,75842888.0
2025-11-11,683.0,683.0,58953385.0
2025-11-12,683.38,683.38,62312484.0
2025-11-13,672.04,672.04,103457788.0
2025-11-14,671.93,671.93,96846672.0
2025-11-17,665.67,665.67,90456105.0
2025-11-18,660.08,660.08,114467488.0
2025-11-19,662.63,662.63,94702955.0
2025-11-20,652.53,652.53,165293521.0
2025-11-21,659.03,659.03,123956203.0
2025-11-24,668.73,668.73,80437940.0
2025-11-25,675.02,675.02,81077088.0
2025-11-26,679.68,679.68,71879597.0
2025-11-28,683.39,683.39,49212030.0
2025-12-01,680.27,680.27,61201193.0
2025-12-02,681.53,681.53,62953844.0
2025-12-03,683.89,683.89,57238481.0
2025-12-04,684.39,684.39,61970336.0
2025-12-05,685.69,685.69,79241045.0
2025-12-08,683.63,683.63,53033654.0
2025-12-09,683.04,683.04,56313923.0
2025-12-10,687.57,687.57,85671334.0
2025-12-11,689.17,689.17,86173678.0
2025-12-12,681.76,681.76,113160347.0
2025-12-15,680.73,680.73,90810952.0
2025-12-16,678.87,678.87,122030631.0
2025-12-17,671.4,671.4,110625198.0
2025-12-18,676.47,676.47,108650128.0
2025-12-19,680.59,680.59,103599543.0
2025-12-22,684.83,684.83,69556733.0
2025-12-23,687.96,687.96,64839951.0
2025-12-24,690.38,690.38,39445560.0
2025-12-26,690.31,690.31,41613347.0
2025-12-29,687.85,687.85,62559503.0
2025-12-30,687.01,687.01,47160671.0
2025-12-31,681.92,681.92,74144801.0
2026-01-02,683.17,683.17,89377203.0
2026-01-05,687.72,687.72,71927191.0
2026-01-06,691.81,691.81,69273827.0
2026-01-07,689.58,689.58,75588337.0
2026-01-08,689.51,689.51,64019200.0
2026-01-09,694.07,694.07,80125467.0
2026-01-12,695.16,695.16,63976002.0
2026-01-13,693.77,693.77,78309726.0
2026-01-14,690.36,690.36,94676684.0
2026-01-15,692.24,692.24,77861974.0
2026-01-16,691.66,691.66,79289200.0
2026-01-20,677.58,677.58,107178877.0
2026-01-21,685.4,685.4,127844467.0
2026-01-22,688.98,688.98,77112243.0
2026-01-23,689.23,689.23,63059578.0
2026-01-26,692.73,692.73,60473813.0
2026-01-27,695.49,695.49,54124395.0
2026-01-28,695.42,695.42,61172165.0
2026-01-29,694.04,694.04,97486198.0
2026-01-30,691.97,691.97,101835131.0
2026-02-02,695.41,695.41,77975410.0
2026-02-03,689.53,689.53,105889540.0
2026-02-04,686.19,686.19,105204600.0
2026-02-05,677.62,677.62,113610812.0
2026-02-06,690.62,690.62,89127566.0
2026-02-09,693.95,693.95,73885192.0
2026-02-10,692.12,692.12,65185725.0
2026-02-11,691.96,691.96,76353872.0
2026-02-12,681.27,681.27,118828963.0
2026-02-13,681.75,681.75,96267487.0
2026-02-17,682.85,682.85,81354660.0
2026-02-18,686.29,686.29,73570341.0
2026-02-19,684.48,684.48,58649363.0
2026-02-20,689.43,689.43,100033986.0
2026-02-23,682.39,682.39,90558087.0
2026-02-24,687.35,687.35,73798727.0
2026-02-25,693.15,693.15,56369479.0
2026-02-26,689.3,689.3,71670990.0
2026-02-27,685.99,685.99,83308868.0
2026-03-02,686.38,686.38,87477198.0
2026-03-03,680.33,680.33,105003113.0
2026-03-04,685.13,685.13,79182244.0
2026-03-05,681.31,681.31,106606464.0
2026-03-06,672.38,672.38,100686951.0
2026-03-09,678.27,678.27,102667711.0
2026-03-10,677.18,677.18,81505315.0
2026-03-11,676.33,676.33,68441672.0
2026-03-12,666.06,666.06,108882246.0
2026-03-13,662.29,662.29,97200242.0
2026-03-16,669.03,669.03,82023130.0
2026-03-17,670.79,670.79,87128044.0
2026-03-18,661.43,661.43,82062576.0
2026-03-19,659.8,659.8,111272539.0
2026-03-20,648.57,648.57,163617522.0
2026-03-23,655.38,655.38,134802732.0
2026-03-24,653.18,653.18,96457478.0
2026-03-25,656.82,656.82,90653787.0
2026-03-26,645.09,645.09,96494375.0
2026-03-27,634.09,634.09,103649368.0
